sample_id	accession	phage_name	host_group	host_species	genome_size_bp	notes
Pa_LC3I3	NC_074663.1	vB_Pae_LC3I3	Pseudomonas	Pseudomonas aeruginosa	49926	RefSeq
Pa_PP9W2	NC_074662.1	PP9W2	Pseudomonas	Pseudomonas aeruginosa	54250	RefSeq
Pa_Epa33	NC_073676.1	Epa33	Pseudomonas	Pseudomonas aeruginosa	64021	RefSeq
Pa_LKA5	NC_073675.1	LKA5	Pseudomonas	Pseudomonas aeruginosa	64746	RefSeq
Pa_E220	NC_073673.1	vB_PaeP_E220	Pseudomonas	Pseudomonas aeruginosa	62874	RefSeq
Pa_PA8	NC_073672.1	PA8	Pseudomonas	Pseudomonas aeruginosa	63654	RefSeq
Pa_PsCh	NC_073623.1	vB_Paer_PsCh	Pseudomonas	Pseudomonas aeruginosa	92710	RefSeq
Pa_PsIn	NC_073622.1	vB_Paer_PsIn	Pseudomonas	Pseudomonas aeruginosa	92515	RefSeq
Pa_Ps12	NC_073621.1	vB_Paer_Ps12	Pseudomonas	Pseudomonas aeruginosa	88705	RefSeq
Sa_PhageK	NC_005880.2	Phage K	Staphylococcus	Staphylococcus aureus	148317	Classic therapeutic MRSA phage
Sa_IMESA119	NC_047732.1	IME-SA119	Staphylococcus	Staphylococcus aureus	141028	RefSeq
Sa_IMESA118	NC_047731.1	IME-SA118	Staphylococcus	Staphylococcus aureus	139750	RefSeq
Sa_IMESA2	NC_047730.1	IME-SA2	Staphylococcus	Staphylococcus aureus	140906	RefSeq
Sa_IMESA1	NC_047729.1	IME-SA1	Staphylococcus	Staphylococcus aureus	140218	RefSeq
Sa_A5W	NC_047728.1	A5W	Staphylococcus	Staphylococcus aureus	145542	RefSeq
Sa_P4W	NC_047727.1	P4W	Staphylococcus	Staphylococcus aureus	147590	RefSeq
Sa_MSA6	NC_047726.1	MSA6	Staphylococcus	Staphylococcus aureus	148243	RefSeq
Sa_Fi200W	NC_047725.1	Fi200W	Staphylococcus	Staphylococcus aureus	148481	RefSeq
Sa_676Z	NC_047724.1	676Z	Staphylococcus	Staphylococcus aureus	148564	RefSeq
Sa_A3R	NC_047723.1	A3R	Staphylococcus	Staphylococcus aureus	141018	RefSeq
Sa_Staph1N	NC_047722.1	Staph1N	Staphylococcus	Staphylococcus aureus	145647	RefSeq
Sm_UTK0007	NC_130781.1	vB_SenS_UTK0007	Salmonella	Salmonella enterica	51921	RefSeq
Sm_UTK0006	NC_111484.1	vB_SenS_UTK0006	Salmonella	Salmonella enterica	49758	RefSeq
Sm_GSP032	NC_112025.1	GSP032	Salmonella	Salmonella enterica	52100	RefSeq
Sm_F61	NC_108349.1	F61	Salmonella	Salmonella enterica	46635	RefSeq
Sm_falkor	NC_102106.1	falkor	Salmonella	Salmonella enterica	114211	RefSeq; large myovirus
Sm_GEC_N5	NC_103213.1	GEC_vB_N5	Salmonella	Salmonella enterica	110015	RefSeq; large myovirus
Sm_LmqsSP1	NC_104259.1	vB_StyS-LmqsSP1	Salmonella	Salmonella enterica	109938	RefSeq; large myovirus
Ec_T4	NC_000866.4	T4	Classic_Ecoli	Escherichia coli	168903	Classic lytic; validation standard
Ec_T7	NC_001604.1	T7	Classic_Ecoli	Escherichia coli	39937	Classic lytic; validation standard
Ec_Lambda	NC_001416.1	Lambda	Classic_Ecoli	Escherichia coli	48502	Classic temperate; validation standard
Ec_P1	NC_005856.1	P1	Classic_Ecoli	Escherichia coli	94800	Classic temperate; broad host range
Ec_Mu	NC_000929.1	Mu	Classic_Ecoli	Escherichia coli	36717	Classic transposable/temperate
Ec_K1E	NC_007637.1	K1E	Classic_Ecoli	Escherichia coli	45251	Lytic; K1 capsule specificity
Ec_VIPECOOM03	NC_111760.1	vB_VIPECOOM03	Classic_Ecoli	Escherichia coli	168519	RefSeq; large myovirus
Ab_ME3	NC_041884.1	vB_AbaM_ME3	Acinetobacter	Acinetobacter baumannii	234900	RefSeq; largest in library; jumbo myovirus
